2017-08-12 23:45:13 peizhi
hps:HParams(batch_nums=64, num_classes=10, deep_net_fkn=30, img_depth=3, deepk=[2, 2, 2], carriage_block_num=[2, 2, 2])
gps:GParams(peizhi_filename='peizhi.xml', saveVariableDirnameList=['data', 'digitRecognise', 'temp'], saveVariableFilename='temp.ckpy', logDirnameList=['data', 'log'], logFilename='resnetv1log.txt')
 deepk and descrate can be fractional, descrate=0.6  use Relu,
2017-08-12 23:45:19 trainstep:    0  loss:1.462775e+01  train acc:0.10547
2017-08-12 23:46:29 trainstep:  100  loss:1.471465e+00  train acc:0.13672
2017-08-12 23:47:39 trainstep:  200  loss:1.521607e+00  train acc:0.13672
2017-08-12 23:48:48 trainstep:  300  loss:1.222865e+00  train acc:0.13672
2017-08-12 23:49:57 trainstep:  400  loss:1.146728e+00  train acc:0.11328
2017-08-13 00:55:44 trainstep: 6100  loss:9.492473e-02  train acc:0.85156
2017-08-13 00:56:53 trainstep: 6200  loss:1.074163e-01  train acc:0.82031
2017-08-13 00:58:02 trainstep: 6300  loss:1.088750e-01  train acc:0.82031
2017-08-13 00:59:11 trainstep: 6400  loss:9.919491e-02  train acc:0.84766
2017-08-13 01:00:20 trainstep: 6500  loss:1.074232e-01  train acc:0.84766
2017-08-13 01:01:28 trainstep: 6600  loss:1.009386e-01  train acc:0.86719
2017-08-13 01:02:37 trainstep: 6700  loss:1.072469e-01  train acc:0.78906
2017-08-13 01:03:46 trainstep: 6800  loss:8.838583e-02  train acc:0.87891
2017-08-13 01:04:55 trainstep: 6900  loss:8.538446e-02  train acc:0.87109
2017-08-13 01:06:04 trainstep: 7000  loss:8.601575e-02  train acc:0.85938
2017-08-13 01:07:12 trainstep: 7100  loss:9.453805e-02  train acc:0.83203
2017-08-13 01:08:21 trainstep: 7200  loss:1.030249e-01  train acc:0.82422
2017-08-13 01:09:30 trainstep: 7300  loss:8.997070e-02  train acc:0.87109
2017-08-13 01:10:39 trainstep: 7400  loss:9.581155e-02  train acc:0.85156
2017-08-13 01:11:48 trainstep: 7500  loss:8.644649e-02  train acc:0.85156
2017-08-13 01:12:57 trainstep: 7600  loss:1.010913e-01  train acc:0.83594
2017-08-13 01:14:05 trainstep: 7700  loss:9.824223e-02  train acc:0.82812
2017-08-13 01:15:14 trainstep: 7800  loss:7.629274e-02  train acc:0.89453
2017-08-13 01:16:23 trainstep: 7900  loss:8.255594e-02  train acc:0.88281
